dish_name,ingredients,quantities_g,cuisine,menu_type,calories,prep_time_min,servings
Aloo Gobi,"potato,cauliflower,onion,tomato,oil,turmeric,cumin,coriander","200,200,100,80,20,3,5,5",indian,veg,210,30,4
Palak Paneer,"spinach,paneer,onion,tomato,cream,garlic,ginger,oil,turmeric","300,200,100,80,30,10,10,20,3",indian,veg,280,35,4
Dal Tadka,"lentils,onion,tomato,garlic,ginger,oil,turmeric,cumin,coriander","200,100,80,10,10,20,3,5,5",indian,veg,230,40,6
Vegetable Biryani,"rice,potato,carrot,peas,onion,tomato,oil,yogurt,garam_masala","300,100,80,60,120,80,30,60,10",indian,veg,350,60,6
Chana Masala,"chickpea,onion,tomato,garlic,ginger,oil,turmeric,cumin,coriander","250,120,100,15,15,25,3,5,5",indian,veg,260,45,4
Paneer Butter Masala,"paneer,butter,cream,onion,tomato,garlic,ginger,oil,garam_masala","250,30,40,100,120,15,15,20,8",indian,veg,380,40,4
Aloo Paratha,"wheat,potato,onion,coriander,oil,butter,cumin,turmeric","250,200,60,20,15,20,5,3",indian,veg,320,35,4
Mixed Vegetable Curry,"potato,carrot,peas,cauliflower,onion,tomato,oil,turmeric,garam_masala","150,100,80,100,100,80,25,3,8",indian,veg,200,35,4
Rajma Chawal,"kidney_bean,rice,onion,tomato,garlic,ginger,oil,turmeric,cumin","200,300,100,100,15,15,25,3,5",indian,veg,310,50,6
Matar Paneer,"peas,paneer,onion,tomato,cream,garlic,oil,garam_masala,turmeric","200,200,100,100,30,15,25,8,3",indian,veg,290,35,4
Bhindi Masala,"okra,onion,tomato,oil,turmeric,cumin,coriander,amchur","300,100,80,25,3,5,5,3",indian,veg,150,25,4
Sambar,"lentils,drumstick,tomato,onion,carrot,tamarind,oil,mustard,turmeric","150,200,100,80,80,20,20,5,3",south_indian,veg,180,45,6
Idli Sambar,"rice,lentils,fenugreek,drumstick,tomato,oil,mustard,turmeric,salt","300,100,10,150,80,15,5,3,5",south_indian,vegan,220,60,6
Masala Dosa,"rice,lentils,potato,onion,oil,mustard,turmeric,coriander,ginger","300,100,200,100,30,5,3,10,10",south_indian,vegan,300,50,4
Upma,"semolina,onion,tomato,carrot,oil,mustard,turmeric,ginger,peanut","200,100,60,60,20,5,3,10,30",south_indian,vegan,250,20,4
Poha,"flattened_rice,onion,potato,peanut,oil,mustard,turmeric,coriander,lemon","200,80,100,30,20,5,3,10,15",indian,vegan,240,15,4
Khichdi,"rice,lentils,potato,turmeric,ghee,cumin,ginger,salt","200,100,150,3,20,5,10,5",indian,veg,280,30,4
Methi Thepla,"wheat,fenugreek,yogurt,oil,turmeric,cumin,chili,salt","250,100,60,20,3,5,5,5",gujarati,veg,270,25,4
Pav Bhaji,"potato,tomato,peas,onion,butter,bread,pav_bhaji_masala,coriander","300,200,100,100,40,200,15,20",indian,veg,380,35,6
Bisi Bele Bath,"rice,lentils,vegetable,tamarind,oil,ghee,mustard,turmeric,garam_masala","200,100,200,20,20,15,5,3,8",south_indian,vegan,290,55,6
Dum Aloo,"potato,yogurt,onion,tomato,cream,oil,garam_masala,turmeric,coriander","400,80,100,100,30,30,10,3,10",indian,veg,310,45,4
Avial,"carrot,drumstick,yam,coconut,yogurt,turmeric,oil,mustard,curry_leaf","100,150,100,80,60,3,15,5,5",south_indian,veg,190,40,4
Lemon Rice,"rice,lemon,peanut,oil,mustard,turmeric,curry_leaf,chili,salt","300,40,50,20,5,3,5,5,5",south_indian,vegan,320,20,4
Curd Rice,"rice,yogurt,milk,ginger,oil,mustard,curry_leaf,pomegranate,salt","300,200,50,10,15,5,5,30,5",south_indian,veg,290,15,4
Baingan Bharta,"eggplant,onion,tomato,garlic,oil,turmeric,coriander,cumin,chili","400,100,100,15,25,3,10,5,5",punjabi,vegan,180,40,4
Sarson Ka Saag,"mustard_greens,spinach,onion,garlic,ginger,oil,butter,makki_atta,salt","400,100,80,15,15,20,30,50,5",punjabi,veg,200,50,4
Chole Bhature,"chickpea,flour,yogurt,onion,tomato,oil,garam_masala,baking_soda,cumin","250,250,60,120,100,40,10,5,5",punjabi,veg,420,50,4
Dal Makhani,"black_lentil,kidney_bean,butter,cream,tomato,onion,garlic,ginger,oil","200,50,40,30,120,100,15,15,20",punjabi,veg,340,60,6
Aloo Matar,"potato,peas,onion,tomato,oil,turmeric,garam_masala,cumin,coriander","250,150,100,80,25,3,8,5,5",indian,vegan,220,30,4
Gobhi Manchurian,"cauliflower,flour,onion,garlic,ginger,soy_sauce,tomato_ketchup,oil,cornflour","400,80,100,15,15,20,30,40,20",indo_chinese,vegan,280,35,4
Chicken Curry,"chicken,onion,tomato,garlic,ginger,oil,turmeric,garam_masala,yogurt","500,150,120,20,20,30,3,10,80",indian,non-veg,380,50,4
Butter Chicken,"chicken,butter,cream,tomato,onion,garlic,ginger,garam_masala,oil","500,40,60,150,100,20,20,10,20",punjabi,non-veg,430,55,4
